iter	MultiClass
0	2.65785978
1	2.572750529
2	2.508157815
3	2.456768113
4	2.413228341
5	2.376502837
6	2.346244878
7	2.320029381
8	2.297090153
9	2.278434855
10	2.260592889
11	2.244673654
12	2.23122439
13	2.218431703
14	2.207366433
15	2.197636128
16	2.189325356
17	2.180776494
18	2.172805971
19	2.166519385
20	2.159970647
21	2.154508229
22	2.148100206
23	2.143845686
24	2.139033091
25	2.134925618
26	2.131231426
27	2.127025734
28	2.123194626
29	2.120094392
30	2.116355311
31	2.112153982
32	2.108786952
33	2.105426676
34	2.101867711
35	2.098562736
36	2.095762788
37	2.093054727
38	2.089754255
39	2.086454206
40	2.083408006
41	2.081364683
42	2.077398066
43	2.075714129
44	2.072135886
45	2.069131197
46	2.065940061
47	2.06360602
48	2.060677881
49	2.058728274
50	2.056224953
51	2.054311228
52	2.051026798
53	2.048144953
54	2.04597963
55	2.044016796
56	2.0405856
57	2.037967033
58	2.036083703
59	2.033769785
60	2.031575755
61	2.029343452
62	2.027075547
63	2.02430529
64	2.022531436
65	2.020061605
66	2.018235264
67	2.016054744
68	2.013584491
69	2.010142741
70	2.008364947
71	2.006124764
72	2.003561498
73	2.001757531
74	1.999904736
75	1.998492801
76	1.996793385
77	1.99535176
78	1.993442819
79	1.991604518
80	1.989351247
81	1.987917079
82	1.985998711
83	1.984317307
84	1.98247999
85	1.979806264
86	1.977858204
87	1.975863005
88	1.973876531
89	1.972551277
90	1.970915886
91	1.96857495
92	1.966626891
93	1.964557536
94	1.963292085
95	1.961340226
96	1.959685136
97	1.958052982
98	1.956523972
99	1.954908845
100	1.953615251
101	1.952307305
102	1.950744805
103	1.949078598
104	1.947321911
105	1.945238343
106	1.942417428
107	1.941049256
108	1.939838684
109	1.938328249
110	1.937084891
111	1.935713904
112	1.934481521
113	1.932215165
114	1.930828981
115	1.929592377
116	1.92756411
117	1.926472161
118	1.924643991
119	1.922686926
120	1.92071593
121	1.91909236
122	1.917331311
123	1.915799909
124	1.913936841
125	1.912190568
126	1.910601191
127	1.909065145
128	1.907215446
129	1.905777901
130	1.904247625
131	1.902875231
132	1.901880516
133	1.900569755
134	1.899263497
135	1.897425477
136	1.896269222
137	1.895029241
138	1.893843294
139	1.892192706
140	1.891105823
141	1.889492807
142	1.887976602
143	1.886100589
144	1.884408068
145	1.882612544
146	1.8803801
147	1.87918768
148	1.87765867
149	1.876105176
150	1.874372552
151	1.87300846
152	1.871907083
153	1.87040312
154	1.868553421
155	1.867465553
156	1.865976365
157	1.865107872
158	1.864498013
159	1.862906948
160	1.861405237
161	1.859991191
162	1.858620345
163	1.857299453
164	1.855480148
165	1.854279708
166	1.853094324
167	1.851543222
168	1.848635486
169	1.84769368
170	1.847000377
171	1.846328322
172	1.845690742
173	1.84491498
174	1.843276494
175	1.842065219
176	1.840954836
177	1.839334502
178	1.838071444
179	1.836868049
180	1.836045991
181	1.834793909
182	1.833492294
183	1.83209626
184	1.830961675
185	1.830296937
186	1.828883595
187	1.827738174
188	1.826540408
189	1.825105396
190	1.823759456
191	1.82206398
192	1.821443568
193	1.820317566
194	1.818639117
195	1.817639758
196	1.816714275
197	1.815089016
198	1.814184781
199	1.81335597
200	1.811814436
201	1.810846598
202	1.810019194
203	1.809358396
204	1.808220574
205	1.806719003
206	1.8057423
207	1.804382289
208	1.803179316
209	1.802140698
210	1.80197381
211	1.800674869
212	1.79977373
213	1.79822699
214	1.797291517
215	1.796107118
216	1.794906256
217	1.793751266
218	1.792478358
219	1.791549639
220	1.790830022
221	1.789525453
222	1.788644013
223	1.787837998
224	1.78615983
225	1.785318072
226	1.784365431
227	1.783215367
228	1.782476895
229	1.781556055
230	1.780403317
231	1.779105784
232	1.778450755
233	1.777555104
234	1.777014758
235	1.775784627
236	1.774635126
237	1.773711754
238	1.772796402
239	1.771843058
240	1.770635582
241	1.769985056
242	1.769207324
243	1.768458861
244	1.767371696
245	1.766210515
246	1.765205669
247	1.764320571
248	1.762877961
249	1.761979917
250	1.76116574
251	1.760378017
252	1.760095461
253	1.759358255
254	1.758548018
255	1.757940551
256	1.757388244
257	1.756028655
258	1.754918836
259	1.754216808
260	1.753059286
261	1.751884034
262	1.750597195
263	1.750093294
264	1.749107304
265	1.748217844
266	1.746900047
267	1.745877893
268	1.745229197
269	1.744462018
270	1.743490662
271	1.742788635
272	1.742113202
273	1.741415959
274	1.740402952
275	1.739206733
276	1.73834218
277	1.737599908
278	1.736357534
279	1.735639184
280	1.734968114
281	1.733848866
282	1.732657432
283	1.731353707
284	1.730381647
285	1.72926831
286	1.72788494
287	1.72669632
288	1.725342078
289	1.724277147
290	1.723704859
291	1.722888148
292	1.721917074
293	1.721078553
294	1.720388627
295	1.719512253
296	1.71882683
297	1.717757959
298	1.716526421
